x y w logw
0.99452812 0.00533860 4.488592e-05 -4.3479
0.48176565 0.60545455 2.251162e-03 -2.6476
0.51823435 0.39454545 2.251162e-03 -2.6476
0.45492992 0.56415868 2.089123e-03 -2.6800
0.54507008 0.43584132 2.089123e-03 -2.6800
0.36172599 0.50346723 1.759131e-03 -2.7547
0.63827401 0.49653277 1.759131e-03 -2.7547
0.39055409 0.42827294 1.138081e-03 -2.9438
0.60944591 0.57172706 1.138081e-03 -2.9438
0.52254972 0.58178271 2.385127e-03 -2.6225
0.47745028 0.41821729 2.385127e-03 -2.6225
0.41511645 0.58499358 2.445243e-03 -2.6117
0.58488355 0.41500642 2.445243e-03 -2.6117
0.35669118 0.56745139 2.276841e-03 -2.6427
0.64330882 0.43254861 2.276841e-03 -2.6427
0.41205797 0.41064673 1.731330e-03 -2.7616
0.58794203 0.58935327 1.731330e-03 -2.7616
0.54724584 0.68254252 2.544488e-03 -2.5944
0.45275416 0.31745748 2.544488e-03 -2.5944
0.44457312 0.62782812 2.205712e-03 -2.6565
0.55542688 0.37217188 2.205712e-03 -2.6565
0.29735383 0.51530507 1.189749e-03 -2.9245
0.70264617 0.48469493 1.189749e-03 -2.9245
0.38981220 0.48590376 6.954035e-04 -3.1578
0.61018780 0.51409624 6.954035e-04 -3.1578
0.58094808 0.64419557 1.244762e-03 -2.9049
0.41905192 0.35580443 1.244762e-03 -2.9049
0.41250630 0.65660643 2.280668e-03 -2.6419
0.58749370 0.34339357 2.280668e-03 -2.6419
0.32391487 0.59960920 2.362172e-03 -2.6267
0.67608513 0.40039080 2.362172e-03 -2.6267
0.38354979 0.39155494 9.274091e-04 -3.0327
0.61645021 0.60844506 9.274091e-04 -3.0327
0.50548825 0.71082528 2.483792e-03 -2.6049
0.49451175 0.28917472 2.483792e-03 -2.6049
0.47345968 0.67115734 2.360361e-03 -2.6270
0.52654032 0.32884266 2.360361e-03 -2.6270
0.27578835 0.48616194 2.074642e-03 -2.6831
0.72421165 0.51383806 2.074642e-03 -2.6831
0.33239956 0.48723023 1.262500e-03 -2.8988
0.66760044 0.51276977 1.262500e-03 -2.8988
0.59832738 0.66407682 1.831368e-03 -2.7372
0.40167262 0.33592318 1.831368e-03 -2.7372
0.44069027 0.70076770 2.162755e-03 -2.6650
0.55930973 0.29923230 2.162755e-03 -2.6650
0.30210060 0.55229371 1.424096e-03 -2.8465
0.69789940 0.44770629 1.424096e-03 -2.8465
0.36174679 0.44790921 2.151885e-03 -2.6672
0.63825321 0.55209079 2.151885e-03 -2.6672
0.63362702 0.62897981 2.023118e-03 -2.6940
0.36637298 0.37102019 2.023118e-03 -2.6940
0.40884143 0.72536851 6.143801e-04 -3.2116
0.59115857 0.27463149 6.143801e-04 -3.2116
0.37865030 0.61727768 2.557092e-03 -2.5923
0.62134970 0.38272232 2.557092e-03 -2.5923
0.33374250 0.40796445 2.340024e-03 -2.6308
0.66625750 0.59203555 2.340024e-03 -2.6308
0.53980019 0.74653886 2.382697e-03 -2.6229
0.46019981 0.25346114 2.382697e-03 -2.6229
0.43642886 0.77522789 2.151845e-03 -2.6672
0.56357114 0.22477211 2.151845e-03 -2.6672
0.23519873 0.50792383 9.446021e-04 -3.0248
0.76480127 0.49207617 9.446021e-04 -3.0248
0.24707305 0.44756876 2.228815e-03 -2.6519
0.75292695 0.55243124 2.228815e-03 -2.6519
0.58186429 0.71899431 2.457118e-03 -2.6096
0.41813571 0.28100569 2.457118e-03 -2.6096
0.46905806 0.74278001 2.325637e-03 -2.6335
0.53094194 0.25721999 2.325637e-03 -2.6335
0.25320073 0.53163566 1.949145e-03 -2.7102
0.74679927 0.46836434 1.949145e-03 -2.7102
0.31164620 0.45690533 2.064706e-03 -2.6851
0.68835380 0.54309467 2.064706e-03 -2.6851
0.55433486 0.61845169 2.200141e-03 -2.6575
0.44566514 0.38154831 2.200141e-03 -2.6575
0.41212178 0.73206589 1.479224e-03 -2.8300
0.58787822 0.26793411 1.479224e-03 -2.8300
0.34032184 0.64987929 6.419917e-04 -3.1925
0.65967816 0.35012071 6.419917e-04 -3.1925
0.28371308 0.42055731 2.108265e-03 -2.6761
0.71628692 0.57944269 2.108265e-03 -2.6761
0.62764380 0.69591192 2.247792e-03 -2.6482
0.37235620 0.30408808 2.247792e-03 -2.6482
0.31146746 0.68825952 1.631865e-03 -2.7873
0.68853254 0.31174048 1.631865e-03 -2.7873
0.29162639 0.63343318 2.387268e-03 -2.6221
0.70837361 0.36656682 2.387268e-03 -2.6221
0.30352794 0.37043639 2.217263e-03 -2.6542
0.69647206 0.62956361 2.217263e-03 -2.6542
